===SelfControl-Killer Log File===

SelfControl Version: 3.0.3
System Version: Mac OS X Version 10.15.6 (Build 19G73)Launchd daemons loaded:

PID	Status	Label
-	0	com.apple.quicklook.ui.helper
417	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
646	0	com.apple.passd
-	0	com.apple.DictationIM
-	0	com.macpaw.CleanMyMac4.Updater
-	0	com.apple.mdmclient.agent
913	0	com.apple.mdworker.shared.10000000-0200-0000-0000-000000000000
886	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.linkedin.xpc
-	0	com.apple.security.XPCKeychainSandboxCheck
-	0	com.apple.mdworker.single
612	0	com.apple.podcasts.PodcastContentService
-	0	com.apple.twitter.xpc
320	0	com.apple.CoreAuthentication.agent
912	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
-	0	com.apple.accessibility.heard
516	0	com.apple.corespeechd
-	0	com.apple.scrod
540	0	design.yugen.Flow.45524
403	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	0	com.apple.security.keychain-circle-notification
647	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.google.keystone.user.agent
-	0	com.apple.ap.adservicesd
-	0	com.apple.AirPortBaseStationAgent
-	0	com.apple.proactiveeventtrackerd
326	0	com.apple.universalaccessd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
-	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
672	0	com.apple.recentsd
434	0	com.apple.WiFiVelocityAgent
365	0	com.apple.usernoted
-	0	com.apple.SafariPlugInUpdateNotifier
-	0	com.apple.AddressBook.abd
-	0	com.apple.ScreenReaderUIServer
390	0	com.apple.swcd
526	0	com.apple.AirPlayUIAgent
352	0	com.apple.xpc.launchd.oneshot.0x10000004.Preview
453	0	com.apple.corespotlightd
